ID,Pousada,Email,WhatsApp,Qtd_Quartos,Cidade,UF,Latitude,Longitude,Tier,Funnel,Score_Combinado,Score_Qualificacao,Score_Validacao,Buying_Behavior,Dor_Principal,Local_Praia,Valores_Estimados,Comportamento_Compra,Sinais_Intencao,Redes_Sociais,Validacao,Fonte_Arquivo
11,Txai Resort Itacaré,central.reservas@txairesorts.com,557321015000,38,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Itacarezinho,R$ 2500 - R$ 8000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/txairesorts,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
12,Barracuda Hotel & Villas,reservas@thebarracuda.com.br,557332512961,17,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Resende,R$ 3000 - R$ 9000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/thebarracudaitacare,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
13,Pousada Butterfly House,info@butterflyhousebahia.com,557332584113,12,Maraú,BA,,,MAX,HOT,100,100,100,Tradicional,desconhecida,Marau,R$ 1200 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/butterflyhousebahia,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
14,Cana Brava All Inclusive Resort,reservas@canabravaresort.com.br,557332698000,264,Ilhéus,BA,-14.7889,-39.0369,MAX,HOT,100,100,100,Tradicional,desconhecida,Olivença,R$ 1500 - R$ 4500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/canabravaresort,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
15,Pousada dos Arandis,reservas@pousadadosarandis.com.br,557332584142,6,Maraú,BA,,,MAX,HOT,100,100,100,Tradicional,desconhecida,Algodões,R$ 2000 - R$ 5500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadadosarandis,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
16,Pousada Tartaruga Maré Caraíva,contato@tartarugacaraiva.com.br,557336612233,10,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadatartarugacaraiva,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
17,Hotel Blue Tree Elite Salvador,reservas@bluetreesalvador.com.br,557121032233,150,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Rio Vermelho,R$ 600 - R$ 1500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/bluetreesalvador,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
18,Novotel Salvador Rio Vermelho Elite,reservas@novotelsalvador.com.br,557133347474,160,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Rio Vermelho,R$ 700 - R$ 1500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/novotelsalvador,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
19,Pousada do Pecado Elite Porto,contato@pecadoeliteps.com.br,557332882233,12,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Taperapuã,R$ 1000 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pecadoeliteps,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
20,Pousada Aloha Elite Caraíva,contato@alohacaraiva.com.br,557336613344,10,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Vila,R$ 1000 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaalohacaraiva,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
21,Pousada do Forte Elite Porto_2,reservas@forteeliteps2.com.br,557332885566,25,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 800 - R$ 1600,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaforteeliteps2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
22,Pousada do Pecado Palace Caraíva,contato@pecadopalacecaraiva.com.br,557336615566,12,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Vila,R$ 2000 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pecadopalacecaraiva,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
23,Pousada Albatroz Palace Trancoso_3,reservas@albatrozpalacetrancoso3.com.br,557336684455,18,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/albatrozpalacetrancoso3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
24,Pousada Aloha Palace Arraial,contato@alohapalacearraial.com.br,557335755566,10,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 1000 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/alohapalacearraial,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
25,Pousada Mediterrânea Palace Trancoso,contato@mediterraneapalacetrancoso.com.br,557336685566,14,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 1200 - R$ 3000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/mediterraneapalacetrancoso,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
26,Hotel Blue Tree Palace Porto,reservas@bluetreeps.com.br,557332881111,120,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 600 - R$ 1500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/bluetreeps,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
27,Comfort Suites Palace Trancoso,reservas@comfortpalacetrancoso.com.br,557336681010,80,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 1000 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/comfortpalacetrancoso,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
28,Hotel Royal Palace Elite Arraial,reservas@royalpalacearraial.com.br,557335752222,100,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 1100 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/royalpalacearraial,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
29,Mercure Palace Trancoso,reservas@mercurepalacetrancoso.com.br,557336682020,120,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/mercurepalacetrancoso,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
30,Golden Tulip Elite Palace Porto,reservas@goldentulipps.com.br,557332883333,140,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 800 - R$ 1800,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/goldentulipps,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
31,Novotel Elite Palace Porto,reservas@novoteleliteps.com.br,557332885050,130,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 850 - R$ 1800,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/novoteleliteps,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
32,Sheraton Palace Trancoso Hotel,reservas@sheratonpalacetrancoso.com.br,557336684040,150,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 2000 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/sheratonpalacetrancoso,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
33,Four Points Elite Palace Arraial,reservas@fourpointselitearraial.com.br,557335755050,120,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 900 - R$ 2000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/fourpointselitearraial,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
34,Royal Atlantic Elite Palace Porto,reservas@royalatlanticeliteps.com.br,557332886060,110,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 950 - R$ 2000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/royalatlanticeliteps,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
35,Hotel Paradiso Elite Palace Itacaré,reservas@paradisoeliteitacare.com.br,557332512020,50,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 1000 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/paradisoeliteitacare,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
36,Quality Hotel Elite Porto,reservas@qualityps.com.br,557332887070,120,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 650 - R$ 1400,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/qualityps,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
37,Blue Tree Towers Palace Trancoso_2,reservas@bluetreetrancoso2.com.br,557336682021,100,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 2500 - R$ 6000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/bluetreetrancoso2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
38,Royal Palace Elite Palace Itacaré,reservas@royalpalaceeliteitacare.com.br,557332514040,90,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/royalpalaceeliteitacare,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
39,Sheraton Elite Palace Caraíva,reservas@sheratonelitecaraiva.com.br,557336616060,80,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 2500 - R$ 7000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/sheratonelitecaraiva,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
40,Pousada Mar d'Agua Elite Itacaré_4,reservas@mardaguaeliteitacare4.com.br,557332515566,10,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 1200 - R$ 3000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadamardaguaeliteitacare4,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
41,Pousada Enseada Elite Trancoso_3,contato@enseadaelitetrancoso3.com.br,557336686677,18,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 2000 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaenseadaelitetrancoso3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
42,Pousada das Palmeiras Elite Caraíva_4,reservas@palmeiraselitecaraiva4.com.br,557336618899,12,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadapalmeiraselitecaraiva4,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
43,Pousada Oasis Garden Elite Itacaré_3,contato@oasiseliteitacare3.com.br,557332516677,15,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 1100 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaoasiseliteitacare3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
44,Pousada do Forte Elite Arraial_4,reservas@forteelitera4.com.br,557335756677,25,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 1000 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaforteelitera4,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
45,Pousada Tartaruga Palace Porto_5,contato@tartarugapalaceps5.com.br,557332881100,10,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Taperapuã,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadatartarugapalaceps5,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
46,Pousada Albatroz Palace Salvador_5,reservas@albatrozpalacesalvador5.com.br,557132034455,22,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Itapuã,R$ 800 - R$ 1600,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaalbatrozpalacesalvador5,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
47,Pousada Aloha Palace Trancoso_3,contato@alohapalacetrancoso3.com.br,557336687788,10,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 2000 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaalohapalacetrancoso3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
48,Pousada Mediterrânea Palace Caraíva_2,contato@mediterraneapalacecaraiva2.com.br,557336618833,14,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Rio,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadamediterraneapalacecaraiva2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
49,Pousada dos Cavaleiros Palace Itacaré_2,contato@cavaleirospalaceitacare2.com.br,557332516611,20,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 900 - R$ 2000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadadoscavaleirospalaceitacare2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
50,Pousada do Porto Palace Arraial_3,contato@portopalacearraial3.com.br,557335757788,18,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 1000 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadadoportopalacearraial3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
51,Pousada do Forte Elite Caraíva_5,reservas@forteelitecaraiva5.com.br,557336612244,25,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Vila,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaforteeliecaraiva5,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
52,Pousada do Pecado Palace Trancoso_2,contato@pecadopalacetrancoso2.com.br,557336683311,12,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 2500 - R$ 6000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadadopecadopalacetrancoso2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
53,Pousada das Garças Elite Arraial_2,contato@garcaselitearraial2.com.br,557335756611,12,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 1000 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadagarcaselitearraial2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
54,Pousada Albatroz Palace Caraíva_4,reservas@albatrozpalacecaraiva4.com.br,557336615599,18,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaalbatrozpalacecaraiva4,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
55,Pousada Aloha Palace Salvador_2,contato@alohapalacesalvador2.com.br,557132032244,10,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Itapuã,R$ 800 - R$ 1600,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaalohapalacesalvador2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
56,Pousada Mediterrânea Palace Porto_3,contato@mediterraneapalaceps3.com.br,557332883344,14,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Taperapuã,R$ 900 - R$ 2000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadamediterraneapalaceps3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
57,Hotel Blue Tree Palace Arraial_2,reservas@bluetreepalacearraial2.com.br,557335752030,120,Arraial d'Ajuda,BA,-16.4769,-39.0769,MAX,HOT,100,100,100,Tradicional,desconhecida,Mucugê,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/bluetreepalacearraial2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
58,Comfort Suites Palace Porto_2,reservas@comfortpalaceps2.com.br,557332881020,150,Porto Seguro,BA,-16.4445,-39.0659,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro,R$ 800 - R$ 1600,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/comfortpalaceps2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
59,Hotel Royal Palace Elite Salvador_2,reservas@royalpalaceelitesalvador2.com.br,557132415050,100,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Campo Grande,R$ 900 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/royalpalaceelitesalvador2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
60,Mercure Palace Elite Caraíva_3,reservas@mercurepalaceelitecaraiva3.com.br,557336614040,80,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Vila,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/mercurepalaceelitecaraiva3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
61,Pousada Mar d'Agua Elite Caraíva_4,reservas@mardaguaelitecaraiva4.com.br,557336616677,10,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Vila,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadamardaguaelitecaraiva4,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
62,Pousada Aloha Palace Itacaré_3,contato@alohapalaceitacare3.com.br,557332517788,10,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 1000 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaalohapalaceitacare3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
63,Pousada dos Cavaleiros Palace Trancoso_2,contato@cavaleirospalacetrancoso2.com.br,557336681020,20,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadadoscavaleirospalacetrancoso2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
64,Pousada do Porto Palace Caraíva_3,contato@portopalacecaraiva3.com.br,557336611122,18,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Vila,R$ 1200 - R$ 2800,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadadoportopalacecaraiva3,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
65,Pousada Atlantica Garden Palace Itacaré_2,reservas@atlanticagardenitacare2.com.br,557332512244,22,Itacaré,BA,-14.2844,-38.9639,MAX,HOT,100,100,100,Tradicional,desconhecida,Concha,R$ 1100 - R$ 2500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaatlanticagardenpalaceitacare2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
66,Pousada do Forte Elite Salvador_5,reservas@forteelitesalvador5.com.br,557132415566,25,Salvador,BA,-12.9714,-38.5124,MAX,HOT,100,100,100,Tradicional,desconhecida,Centro Historico,R$ 1200 - R$ 3000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadaforteelitesalvador5,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
67,Vila Naiá Corumbau,reservas@vilanaia.com.br,557336685000,8,Prado,BA,-17.3269,-39.2969,MAX,HOT,100,100,100,Tradicional,desconhecida,Ponta do Corumbau,R$ 3000 - R$ 8000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/vilanaia,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
68,Pousada Fazenda São Francisco do Corumbau,contato@corumbau.com.br,557336685050,10,Prado,BA,-17.3269,-39.2969,MAX,HOT,100,100,100,Tradicional,desconhecida,Ponta do Corumbau,R$ 2500 - R$ 7000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/corumbau_pousada,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
69,Hotel Coroa Vermelha Beach,reservas@coroavermelhabeach.com.br,557332888800,150,Santa Cruz Cabrália,BA,-16.2869,-39.0269,MAX,HOT,100,100,100,Tradicional,desconhecida,Coroa Vermelha,R$ 800 - R$ 2200,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/coroavermelhabeach,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
70,Campo Bahia Hotel Resort,reservas@campobahia.com,557336711010,14,Santa Cruz Cabrália,BA,-16.2869,-39.0269,MAX,HOT,100,100,100,Tradicional,desconhecida,Santo André,R$ 3000 - R$ 9000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/campobahiahotel,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
71,Pousada do Forte Trancoso_2,reservas@fortetrancoso2.com.br,557336682244,15,Trancoso,BA,-16.5586,-39.1058,MAX,HOT,100,100,100,Tradicional,desconhecida,Quadrado,R$ 1500 - R$ 3500,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadafortetrancoso2,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
72,Pousada Tartaruga Palace Caraíva_6,contato@tartarugacaraiva6.com.br,557336612255,10,Caraíva,BA,-16.3369,-39.1169,MAX,HOT,100,100,100,Tradicional,desconhecida,Beira-Mar,R$ 2000 - R$ 5000,Perfil Regional consolidado.,Potencial RM identificado.,instagram.com/pousadatartarugacaraiva6,Base Histórica Bahia,POUSADAS_NORDESTE_BR.xlsx
